S.No,STATE,DISTRICT,Rainfall(mm),Total Geographical Area (ha),Rainfall Recharge,Ground Water Recharge (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham)),Total Ground Water Availability in Unconfined Aquifier (ham)-Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)-Saline,Total Ground Water Availability in Unconfined Aquifier (ham)- Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)- Saline,Total Ground Water Availability in the area (ham)-Fresh,Total Ground Water Availability in the area (ham)-Saline
72,CHHATTISGARH,BALODA BAZAR,0,0,38470,60510,60510,6051,54459,21813,40,0,0,0,0,0,0,0,0
73,CHHATTISGARH,BALRAMPUR,0,0,51812,56443,56443,5176,51267,16014,31,0,0,0,0,0,0,0,0
74,CHHATTISGARH,BASTAR,0,0,30102,32468,32468,2840,29627,7734,26,0,0,0,0,0,0,0,0
75,CHHATTISGARH,BEMETARA,0,0,16646,43149,43149,4314,38834,30314,78,0,0,0,0,0,0,0,0
76,CHHATTISGARH,BIJAPUR,0,0,38697,39447,39447,3944,35502,2494,7,0,0,0,0,0,0,0,0
77,CHHATTISGARH,BILASPUR,0,0,35158,49782,49782,4104,45677,23917,52,0,0,0,0,0,0,0,0
78,CHHATTISGARH,DANTEWADA,0,0,20075,21145,21145,1229,19916,2832,14,0,0,0,0,0,0,0,0
79,CHHATTISGARH,DHAMTARI,0,0,22019,43365,43365,4336,39029,24893,63,0,0,0,0,0,0,0,0
80,CHHATTISGARH,DURG,0,0,13509,31049,31049,3104,27944,23068,82,0,0,0,0,0,0,0,0
81,CHHATTISGARH,GARIABAND,0,0,23545,33879,33879,2515,31363,16354,52,0,0,0,0,0,0,0,0
82,CHHATTISGARH,JANJGIR-CHAMPA,0,0,23523,43883,43883,3812,40071,18923,47,0,0,0,0,0,0,0,0
83,CHHATTISGARH,JASHPUR,0,0,34053,39433,39433,3756,35676,13944,39,0,0,0,0,0,0,0,0
84,CHHATTISGARH,KABIRDHAM,0,0,34808,47031,47031,3980,43051,27517,63,0,0,0,0,0,0,0,0
85,CHHATTISGARH,KANKER,0,0,61302,71655,71655,5354,66300,21769,32,0,0,0,0,0,0,0,0
86,CHHATTISGARH,KONDAGAON,0,0,32493,35410,35410,2827,32583,12666,38,0,0,0,0,0,0,0,0
87,CHHATTISGARH,KORBA,0,0,35206,38136,38136,3156,34980,12538,35,0,0,0,0,0,0,0,0
88,CHHATTISGARH,KOREA,0,0,43748,50243,50243,4453,45789,9458,20,0,0,0,0,0,0,0,0
89,CHHATTISGARH,MAHASAMUND,0,0,47608,65798,65798,5666,60132,35765,59,0,0,0,0,0,0,0,0
90,CHHATTISGARH,MUNGELI,0,0,10758,16726,16726,1599,15126,8221,54,0,0,0,0,0,0,0,0
91,CHHATTISGARH,NARAYANPUR,0,0,26286,27033,27033,1779,25254,987,3,0,0,0,0,0,0,0,0
92,CHHATTISGARH,RAIGARH,0,0,36205,44748,44748,3581,41166,20292,49,0,0,0,0,0,0,0,0
93,CHHATTISGARH,RAIPUR,0,0,20677,42819,42819,4108,38711,24249,62,0,0,0,0,0,0,0,0
94,CHHATTISGARH,RAJNANDGAON,0,0,43039,70143,70143,6200,63943,36929,57,0,0,0,0,0,0,0,0
95,CHHATTISGARH,SUKMA,0,0,31231,31986,31986,2861,29124,1477,5,0,0,0,0,0,0,0,0
96,CHHATTISGARH,SURAJPUR,0,0,29965,40819,40819,3253,37565,20316,54,0,0,0,0,0,0,0,0
97,CHHATTISGARH,SURGUJA,0,0,39595,45293,45293,3756,41537,14218,34,0,0,0,0,0,0,0,0
98,DADRA AND NAGAR HAVELI,DADRA NAGAR HAVELI,0,0,6067,6861,6861,343,6518,2042,31,0,0,0,0,0,0,0,0
99,DAMAN AND DIU,DAMAN,0,0,1172,1304,1304,65,1239,635,51,0,0,0,0,0,0,0,0
100,DAMAN AND DIU,DIU,0,0,412,471,471,47,424,386,91,0,0,0,0,0,0,0,0
101,DELHI,CENTRAL,0,0,841,2540,2540,164,2376,1921,80,0,0,0,0,0,0,0,0
102,DELHI,EAST,0,0,182,1497,1497,113,1384,1501,108,0,0,0,0,0,0,0,0
103,DELHI,NAZUL LAND,0,0,122,638,638,63,574,400,69,0,0,0,0,0,0,0,0
104,DELHI,NEW DELHI,0,0,2223,3429,3429,212,3216,5128,159,0,0,0,0,0,0,0,0
105,DELHI,NORTH,0,0,4181,9599,9599,479,9119,7660,83,0,0,0,0,0,0,0,0
106,DELHI,NORTH EAST,0,0,345,1067,1067,89,977,1150,117,0,0,0,0,0,0,0,0
107,DELHI,NORTH WEST,0,0,1736,4172,4172,208,3963,2760,69,0,0,0,0,0,0,0,0
108,DELHI,SHAHDARA,0,0,333,622,622,58,563,941,166,0,0,0,0,0,0,0,0
109,DELHI,SOUTH,0,0,1758,1918,1918,111,1806,4604,254,0,0,0,0,0,0,0,0
110,DELHI,SOUTH EAST,0,0,1032,1707,1707,142,1564,3279,209,0,0,0,0,0,0,0,0
111,DELHI,SOUTH WEST,0,0,1735,2380,2380,238,2142,4482,209,0,0,0,0,0,0,0,0
112,DELHI,WEST,0,0,1077,2526,2526,126,2399,2160,90,0,0,0,0,0,0,0,0
113,GOA,GOA NORTH,0,0,8306,14110,14110,5644,8466,2322,27,0,0,0,0,0,0,0,0
114,GOA,SOUTH GOA,0,0,11332,12611,12611,5044,7566,3049,40,0,0,0,0,0,0,0,0
115,GUJARAT,AHMEDABAD,0,0,39237,57846,57846,2892,54954,39574,72,0,0,0,0,0,0,0,0
116,GUJARAT,AMRELI,0,0,104008,126143,126143,6307,119836,73259,61,0,0,0,0,0,0,0,0
117,GUJARAT,ANAND,0,0,31573,67775,67775,3388,64386,28056,43,0,0,0,0,0,0,0,0
118,GUJARAT,ARVALLI,0,0,54197,66907,66907,3345,63562,36489,57,0,0,0,0,0,0,0,0
119,GUJARAT,BANASKANTHA,0,0,108741,147567,147567,7378,140189,157492,112,0,0,0,0,0,0,0,0
120,GUJARAT,BHARUCH,0,0,38578,53462,53462,2673,50789,16875,33,0,0,0,0,0,0,0,0
121,GUJARAT,BHAVNAGAR,0,0,60632,81961,81961,4098,77863,46351,59,0,0,0,0,0,0,0,0
122,GUJARAT,BOTAD,0,0,30879,37470,37470,1873,35597,22380,62,0,0,0,0,0,0,0,0
123,GUJARAT,CHHOTA UDEPUR,0,0,19160,35626,35626,1781,33845,16261,48,0,0,0,0,0,0,0,0
124,GUJARAT,DAHOD,0,0,22691,41484,41484,2074,39410,18072,45,0,0,0,0,0,0,0,0
125,GUJARAT,DANG,0,0,5165,8573,8573,429,8144,996,12,0,0,0,0,0,0,0,0
126,GUJARAT,DEVBHUMI DWARKA,0,0,25540,30444,30444,1522,28921,18595,64,0,0,0,0,0,0,0,0
127,GUJARAT,GANDHINAGAR,0,0,33504,43476,43476,2173,41302,42999,104,0,0,0,0,0,0,0,0
128,GUJARAT,GIR SOMNATH,0,0,42519,51758,51758,2587,49170,30123,61,0,0,0,0,0,0,0,0
129,GUJARAT,JAMNAGAR,0,0,65638,79283,79283,3964,75319,47657,63,0,0,0,0,0,0,0,0
130,GUJARAT,JUNAGADH,0,0,87552,104151,104151,5207,98944,63566,64,0,0,0,0,0,0,0,0
131,GUJARAT,KACHCHH,0,0,72504,103400,103400,5170,98230,66460,67,0,0,0,0,0,0,0,0
132,GUJARAT,KHEDA,0,0,36371,70177,70177,3508,66668,32556,48,0,0,0,0,0,0,0,0
133,GUJARAT,MAHESANA,0,0,88305,114939,114939,5746,109192,125396,114,0,0,0,0,0,0,0,0
134,GUJARAT,MAHISAGAR,0,0,22394,37043,37043,1852,35191,13631,38,0,0,0,0,0,0,0,0
135,GUJARAT,MORBI,0,0,48353,58595,58595,2929,55665,33724,60,0,0,0,0,0,0,0,0
136,GUJARAT,NARMADA,0,0,11503,25176,25176,1258,23917,4631,19,0,0,0,0,0,0,0,0
137,GUJARAT,NAVSARI,0,0,42109,60236,60236,3011,57224,20543,35,0,0,0,0,0,0,0,0
138,GUJARAT,PANCHMAHAL,0,0,27302,48274,48274,2413,45860,25055,54,0,0,0,0,0,0,0,0
139,GUJARAT,PATAN,0,0,21368,40272,40272,2013,38259,38566,100,0,0,0,0,0,0,0,0
140,GUJARAT,PORBANDAR,0,0,18217,21750,21750,1087,20662,14738,71,0,0,0,0,0,0,0,0
141,GUJARAT,RAJKOT,0,0,115745,156553,156553,7827,148726,95955,64,0,0,0,0,0,0,0,0
142,GUJARAT,RANA AND KUTCH,0,1711000,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
143,GUJARAT,SABARKANTHA,0,0,64747,89347,89347,4467,84880,59455,70,0,0,0,0,0,0,0,0
144,GUJARAT,SURAT,0,0,63919,111162,111162,5558,105604,36629,34,0,0,0,0,0,0,0,0
145,GUJARAT,SURENDRANAGAR,0,0,58510,71734,71734,3586,68147,39576,58,0,0,0,0,0,0,0,0
146,GUJARAT,TAPI,0,0,30889,44169,44169,2208,41961,17986,42,0,0,0,0,0,0,0,0
147,GUJARAT,VADODARA,0,0,68427,101937,101937,5096,96841,56076,57,0,0,0,0,0,0,0,0
148,GUJARAT,VALSAD,0,0,35142,48150,48150,2407,45742,17986,39,0,0,0,0,0,0,0,0
149,HARYANA,AMBALA,0,0,38936,56502,56502,5650,50852,51135,100,0,0,0,0,0,0,0,0
150,HARYANA,BHIWANI,0,0,20168,45308,45308,4530,40777,47717,117,0,0,0,0,0,0,0,0
151,HARYANA,CHARKHI DADRI,0,0,12209,18569,18569,1856,16712,26675,159,0,0,0,0,0,0,0,0
152,HARYANA,FARIDABAD,0,0,8439,16378,16378,1638,14740,18551,125,0,0,0,0,0,0,0,0
153,HARYANA,FATEHABAD,0,0,17360,63986,63986,6398,57587,92964,161,0,0,0,0,0,0,0,0
154,HARYANA,GURGAON,0,0,16273,21196,21196,2119,19077,42122,220,0,0,0,0,0,0,0,0
155,HARYANA,HISAR,0,0,26104,71051,71051,7105,63946,66269,103,0,0,0,0,0,0,0,0
156,HARYANA,JHAJJAR,0,0,14861,38102,38102,3810,34292,21172,61,0,0,0,0,0,0,0,0
157,HARYANA,JIND,0,0,27420,87458,87458,8745,78712,102037,129,0,0,0,0,0,0,0,0
158,HARYANA,KAITHAL,0,0,21317,51085,51085,5109,45976,104775,227,0,0,0,0,0,0,0,0
159,HARYANA,KARNAL,0,0,33538,77623,77623,7763,69860,118696,169,0,0,0,0,0,0,0,0
160,HARYANA,KURUKSHETRA,0,0,20034,33247,33247,3324,29922,73008,243,0,0,0,0,0,0,0,0
161,HARYANA,MAHENDRAGARH,0,0,21922,31148,31148,3115,28033,26299,93,0,0,0,0,0,0,0,0
162,HARYANA,MEWAT,0,0,12357,20844,20844,2085,18759,18725,99,0,0,0,0,0,0,0,0
163,HARYANA,PALWAL,0,0,13755,52089,52089,5209,46880,50142,106,0,0,0,0,0,0,0,0
164,HARYANA,PANCHKULA,0,0,11975,13581,13581,1357,12224,8315,68,0,0,0,0,0,0,0,0
165,HARYANA,PANIPAT,0,0,15619,33178,33178,3317,29861,56072,187,0,0,0,0,0,0,0,0
166,HARYANA,REWARI,0,0,22508,42698,42698,4270,38428,35079,91,0,0,0,0,0,0,0,0
167,HARYANA,ROHTAK,0,0,17490,37299,37299,3729,33569,19055,56,0,0,0,0,0,0,0,0
168,HARYANA,SIRSA,0,0,30284,72470,72470,7247,65223,128883,197,0,0,0,0,0,0,0,0
169,HARYANA,SONIPAT,0,0,23798,77256,77256,7725,69531,66854,96,0,0,0,0,0,0,0,0
170,HARYANA,YAMUNA NAGAR,0,0,32494,53422,53422,5342,48080,75492,157,0,0,0,0,0,0,0,0
171,HIMACHAL PRADESH,BALH VALLEY,0,0,2692,2758,2758,277,2480,889,35,0,0,0,0,0,0,0,0
172,HIMACHAL PRADESH,BILASPUR,0,215690,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
173,HIMACHAL PRADESH,CHAMBA,0,516544,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
174,HIMACHAL PRADESH,HAMIRPUR,0,172992,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
175,HIMACHAL PRADESH,HUM VALLEY,0,0,537,587,587,58,529,399,75,0,0,0,0,0,0,0,0
176,HIMACHAL PRADESH,KALA AMB VALLEY,0,0,103,118,118,11,106,411,385,0,0,0,0,0,0,0,0
177,HIMACHAL PRADESH,KANGRA,0,0,10192,11749,11749,1174,10574,13223,125,0,0,0,0,0,0,0,0
178,HIMACHAL PRADESH,KINNAUR,0,472527,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
179,HIMACHAL PRADESH,KULLU,0,385834,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
180,HIMACHAL PRADESH,LAHUL & SPITI,0,1277461,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
181,HIMACHAL PRADESH,MANDI,0,344705,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
182,HIMACHAL PRADESH,NALAGARH VALLEY,0,0,7486,8115,8115,811,7304,8515,116,0,0,0,0,0,0,0,0
183,HIMACHAL PRADESH,POANTA VALLEY,0,0,6474,6596,6596,659,5936,1323,22,0,0,0,0,0,0,0,0
184,HIMACHAL PRADESH,SHIMLA,0,512174,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
185,HIMACHAL PRADESH,SIRMAUR,0,354182,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
186,HIMACHAL PRADESH,SOLAN,0,254883,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
187,HIMACHAL PRADESH,UNA,0,0,5369,7889,7889,788,7100,10480,147,0,0,0,0,0,0,0,0
188,JAMMU AND KASHMIR,Bandipora,0,0,1230,6033,6033,603,5430,1826,33,0,0,0,0,0,0,0,0
189,JAMMU AND KASHMIR,Doda,0,0,9562,13604,13604,1360,12244,3920,32,0,0,0,0,0,0,0,0
190,JAMMU AND KASHMIR,Jammu,0,0,9889,18127,18127,1812,16314,4777,29,0,0,0,0,0,0,0,0
191,JAMMU AND KASHMIR,Kishtwar,0,0,11082,17590,17590,1759,15831,3556,22,0,0,0,0,0,0,0,0
192,JAMMU AND KASHMIR,Poonch,0,0,9102,11539,11539,1153,10385,3111,29,0,0,0,0,0,0,0,0
193,JAMMU AND KASHMIR,Pulwama,0,0,3459,4287,4287,428,3858,1497,38,0,0,0,0,0,0,0,0
194,JAMMU AND KASHMIR,Rajouri,0,0,554,1299,1299,129,1169,725,62,0,0,0,0,0,0,0,0
195,JAMMU AND KASHMIR,Samba,0,0,1881,1893,1893,189,1704,178,10,0,0,0,0,0,0,0,0
196,JAMMU AND KASHMIR,Shopian,0,0,1397,1409,1409,140,1268,143,11,0,0,0,0,0,0,0,0
197,JAMMU AND KASHMIR,Srinagar,0,0,3049,3811,3811,381,3430,1425,41,0,0,0,0,0,0,0,0
198,JHARKHAND,BOKARO,0,0,22329,25347,25347,2115,23231,11827,50,0,0,0,0,0,0,0,0
199,JHARKHAND,CHATRA,0,0,25894,30119,30119,2532,27586,8331,30,0,0,0,0,0,0,0,0
200,JHARKHAND,DEOGHAR,0,0,15667,18244,18244,1402,16842,7115,42,0,0,0,0,0,0,0,0
201,JHARKHAND,DHANBAD,0,0,19084,23826,23826,1743,22082,14908,67,0,0,0,0,0,0,0,0
202,JHARKHAND,DUMKA,0,0,23375,26556,26556,2221,24335,5903,24,0,0,0,0,0,0,0,0
203,JHARKHAND,EAST SINGHBHUM,0,0,22089,25359,25359,2368,22991,4575,19,0,0,0,0,0,0,0,0
204,JHARKHAND,GARHWA,0,0,26218,31032,31032,2414,28617,7278,25,0,0,0,0,0,0,0,0
205,JHARKHAND,GIRIDIH,0,0,41318,45827,45827,3811,42016,10893,25,0,0,0,0,0,0,0,0
206,JHARKHAND,GODDA,0,0,19273,22009,22009,1933,20076,4180,20,0,0,0,0,0,0,0,0
207,JHARKHAND,GUMLA,0,0,44378,50391,50391,4626,45764,5969,13,0,0,0,0,0,0,0,0
208,JHARKHAND,HAZARIBAGH,0,0,28781,34363,34363,2783,31579,11105,35,0,0,0,0,0,0,0,0
209,JHARKHAND,JAMTARA,0,0,8652,11522,11522,905,10616,3289,30,0,0,0,0,0,0,0,0
210,JHARKHAND,KHUNTI,0,0,13146,14808,14808,1268,13540,3131,23,0,0,0,0,0,0,0,0
211,JHARKHAND,KODERMA,0,0,7846,8794,8794,745,8048,3086,38,0,0,0,0,0,0,0,0
212,JHARKHAND,LATEHAR,0,0,20125,23533,23533,1789,21743,6330,29,0,0,0,0,0,0,0,0
213,JHARKHAND,LOHARDAGA,0,0,17294,19720,19720,1756,17963,2467,13,0,0,0,0,0,0,0,0
214,JHARKHAND,PAKUR,0,0,12016,14319,14319,975,13343,2662,19,0,0,0,0,0,0,0,0
215,JHARKHAND,PALAMAU,0,0,32617,38106,38106,3126,34979,9814,28,0,0,0,0,0,0,0,0
216,JHARKHAND,RAMGARH,0,0,9941,11451,11451,1110,10340,7292,70,0,0,0,0,0,0,0,0
217,JHARKHAND,RANCHI,0,0,37189,42270,42270,3448,38821,12943,33,0,0,0,0,0,0,0,0
218,JHARKHAND,SAHEBGANJ,0,0,20863,23862,23862,2357,21504,3610,16,0,0,0,0,0,0,0,0
219,JHARKHAND,SARAIKELA KHARSAWAN,0,0,11676,14106,14106,1271,12834,4065,31,0,0,0,0,0,0,0,0
220,JHARKHAND,SIMDEGA,0,0,29637,32598,32598,2609,29988,2734,9,0,0,0,0,0,0,0,0
221,JHARKHAND,WEST SINGHBHUM,0,0,28495,33170,33170,3030,30139,4254,14,0,0,0,0,0,0,0,0
222,KARNATAKA,Bagalkot,3421,690052,14732,61483,61483,12168,110073,109828,99,21110,16116,0,0,55376,0,55376,0
223,KARNATAKA,Ballari,2456,689391,28738,48872,48872,11159,105822,72839,68,10635,17729,0,0,44338,0,44338,0
224,KARNATAKA,Belagavi,11617,1184041,33079,140860,140860,57201,519209,459707,88,147743,21263,0,0,126953,0,126953,0
225,KARNATAKA,Bengaluru (Rural),1471,297898,12954,21275,21275,5531,49785,78166,157,4931,0,0,0,19147,0,19147,0
