S.No,STATE,DISTRICT,Rainfall(mm),Total Geographical Area (ha),Rainfall Recharge,Ground Water Recharge (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham)),Total Ground Water Availability in Unconfined Aquifier (ham)-Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)-Saline,Total Ground Water Availability in Unconfined Aquifier (ham)- Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)- Saline,Total Ground Water Availability in the area (ham)-Fresh,Total Ground Water Availability in the area (ham)-Saline
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,0,0,9886,9898,9898,989,8908,313,3,0,0,0,0,0,0,0,0
2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,0,0,18351,18352,18352,1835,16516,109,0,0,0,0,0,0,0,0,0
3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,0,0,8579,8591,8591,859,7731,484,6,0,0,0,0,0,0,0,0
4,ANDHRA PRADESH,Ananthapuramu,551,1913000,77588,9209433,9209433,920860,8288573,159564,1,21490,8128476,4520670,0,12809243,0,12809243,0
5,ANDHRA PRADESH,Chittoor,941,1515100,118677,1183966,1183966,116949,1067016,107208,10,13696,962069,6652520,0,7719537,0,7719537,0
6,ANDHRA PRADESH,East Godavari,1170,1280290,113793,368758,368758,34843,333915,47973,16,4022,245208,6158960,222715,6451845,263745,6451845,263745
7,ANDHRA PRADESH,Guntur,840,1139106,65987,497919,497919,48827,449091,49587,14,15897,277808,2240028,689936,2565765,813291,2565765,813291
8,ANDHRA PRADESH,Krishna,1009,872700,90866,517174,517174,48806,468367,61068,14,7638,353386,3383524,5498849,3795216,5555524,3795216,5555524
9,ANDHRA PRADESH,Kurnool,667,1765800,64034,898855,898855,78783,820072,65496,7,16098,761046,6023987,0,6844053,6,6844053,6
10,ANDHRA PRADESH,Prakasam,842,1762527,75491,320428,320428,30146,290281,63241,22,15182,220892,6567983,227927,6851597,234595,6851597,234595
11,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,1053,1307605,118255,1905994,1905994,187151,1718843,97572,5,10328,1606191,4295184,1685,5997457,18255,5997457,18255
12,ANDHRA PRADESH,Srikakulam,1158,583939,48539,20644206,20644206,2062672,18581533,50175,0,16659,18536221,2001370,0,20582903,1,20582903,1
13,ANDHRA PRADESH,Visakhapatnam,1169,854768,41621,54367,54367,4767,49600,9196,18,5520,38250,1458986,0,1508587,0,1508587,0
14,ANDHRA PRADESH,Vizianagaram,1116,653903,51434,1379376,1379376,113972,1265403,21346,1,4514,1245070,3122692,0,4388037,58,4388037,58
15,ANDHRA PRADESH,West Godavari,893,847773,89515,11004788,11004788,1055339,9949448,40324653,311,6635,5609511,6512500,639839,16360982,740806,16360982,740806
16,ANDHRA PRADESH,Y.S.R Kadapa,840,1535000,102403,246504,246504,23018,223486,80664,36,5983,151461,9419717,0,9643204,0,9643204,0
17,ARUNACHAL PRADESH,ANJAW,0,619000,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
18,ARUNACHAL PRADESH,CHANGLANG,0,0,26005,26772,26772,2849,23922,174,0,0,0,0,0,0,0,0,0
19,ARUNACHAL PRADESH,DIBANG VALLEY,0,912900,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
20,ARUNACHAL PRADESH,EAST KAMENG,0,0,9695,9928,9928,992,8935,25,0,0,0,0,0,0,0,0,0
21,ARUNACHAL PRADESH,EAST SIANG,0,0,76341,82338,82338,13307,69031,65,0,0,0,0,0,0,0,0,0
22,ARUNACHAL PRADESH,KURUNG KUMEY,0,881800,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
23,ARUNACHAL PRADESH,LOHIT,0,0,86097,88408,88408,8840,79567,218,0,0,0,0,0,0,0,0,0
24,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,0,0,59402,61151,61151,6115,55036,32,0,0,0,0,0,0,0,0,0
25,ARUNACHAL PRADESH,LOWER SUBANSIRI,0,0,2088,3394,3394,738,2655,18,0,0,0,0,0,0,0,0,0
26,ARUNACHAL PRADESH,PAPUM PARE,0,0,9242,11195,11195,1449,9746,99,1,0,0,0,0,0,0,0,0
27,ARUNACHAL PRADESH,TAWANG,0,217200,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
28,ARUNACHAL PRADESH,TIRAP,0,0,7070,7889,7889,394,7495,63,0,0,0,0,0,0,0,0,0
29,ARUNACHAL PRADESH,UPPER SIANG,0,618800,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
30,ARUNACHAL PRADESH,UPPER SUBANSIRI,0,0,145,1057,1057,105,951,16,1,0,0,0,0,0,0,0,0
31,ARUNACHAL PRADESH,WEST KAMENG,0,0,3645,3963,3963,396,3566,11,0,0,0,0,0,0,0,0,0
32,ARUNACHAL PRADESH,WEST SIANG,0,0,4273,6399,6399,639,5759,21,0,0,0,0,0,0,0,0,0
33,BIHAR,ARARIA,0,0,91232,98976,98976,7096,91880,18032,19,0,0,0,0,0,0,0,0
34,BIHAR,ARWAL,0,0,14415,22471,22471,1275,21195,8173,38,0,0,0,0,0,0,0,0
35,BIHAR,AURANGABAD,0,0,85449,103766,103766,5188,98578,26220,26,0,0,0,0,0,0,0,0
36,BIHAR,BANKA,0,0,36725,49846,49846,3010,46835,16195,34,0,0,0,0,0,0,0,0
37,BIHAR,BEGUSARAI,0,0,49142,71475,71475,7147,64327,33649,52,0,0,0,0,0,0,0,0
38,BIHAR,BHAGALPUR,0,0,69090,75501,75501,5009,70491,19367,27,0,0,0,0,0,0,0,0
39,BIHAR,BHOJPUR,0,0,58189,93754,93754,9011,84743,47425,55,0,0,0,0,0,0,0,0
40,BIHAR,BUXAR,0,0,32622,65832,65832,6583,59249,30542,51,0,0,0,0,0,0,0,0
41,BIHAR,DARBHANGA,0,0,65418,95813,95813,7831,87982,30066,34,0,0,0,0,0,0,0,0
42,BIHAR,EAST CHAMPARAN,0,0,107613,145795,145795,12085,133709,55994,41,0,0,0,0,0,0,0,0
43,BIHAR,GAYA,0,0,94843,115375,115375,7534,107840,70904,65,0,0,0,0,0,0,0,0
44,BIHAR,GOPALGANJ,0,0,56785,89299,89299,7474,81825,60083,73,0,0,0,0,0,0,0,0
45,BIHAR,JAMUI,0,0,32521,40316,40316,3365,36951,11806,31,0,0,0,0,0,0,0,0
46,BIHAR,JEHANABAD,0,0,22957,35270,35270,2903,32366,30976,95,0,0,0,0,0,0,0,0
47,BIHAR,KAIMUR,0,0,62916,98756,98756,8855,89901,29836,33,0,0,0,0,0,0,0,0
48,BIHAR,KATIHAR,0,0,93249,109840,109840,9686,100153,63822,63,0,0,0,0,0,0,0,0
49,BIHAR,KHAGARIA,0,0,42507,76253,76253,7625,68627,22193,32,0,0,0,0,0,0,0,0
50,BIHAR,KISHANGANJ,0,0,75715,78947,78947,7894,71052,15364,21,0,0,0,0,0,0,0,0
51,BIHAR,LAKHISARAI,0,0,23603,32172,32172,3217,28955,8646,29,0,0,0,0,0,0,0,0
52,BIHAR,MADHEPURA,0,0,47219,64579,64579,4107,60472,35237,58,0,0,0,0,0,0,0,0
53,BIHAR,MADHUBANI,0,0,85577,117134,117134,11216,105917,38888,36,0,0,0,0,0,0,0,0
54,BIHAR,MUNGER,0,0,26861,37434,37434,3239,34195,11299,33,0,0,0,0,0,0,0,0
55,BIHAR,MUZAFFARPUR,0,0,74957,119653,119653,9537,110115,74384,67,0,0,0,0,0,0,0,0
56,BIHAR,NALANDA,0,0,56856,88581,88581,8325,80255,55246,68,0,0,0,0,0,0,0,0
57,BIHAR,NAWADA,0,0,45261,62879,62879,4771,58107,30764,52,0,0,0,0,0,0,0,0
58,BIHAR,PATNA,0,0,78257,100302,100302,7147,93154,55946,60,0,0,0,0,0,0,0,0
59,BIHAR,PURNEA,0,0,108879,117156,117156,6445,110710,61128,55,0,0,0,0,0,0,0,0
60,BIHAR,ROHTAS,0,0,98139,115680,115680,10092,105588,25651,24,0,0,0,0,0,0,0,0
61,BIHAR,SAHARSA,0,0,44679,53836,53836,3340,50495,20607,40,0,0,0,0,0,0,0,0
62,BIHAR,SAMASTIPUR,0,0,70455,133834,133834,7837,125997,59539,47,0,0,0,0,0,0,0,0
63,BIHAR,SARAN,0,0,65708,87796,87796,5840,81955,52197,63,0,0,0,0,0,0,0,0
64,BIHAR,SHEIKHPURA,0,0,16338,23337,23337,1618,21718,8330,38,0,0,0,0,0,0,0,0
65,BIHAR,SHEOHAR,0,0,12233,14440,14440,1338,13102,7592,57,0,0,0,0,0,0,0,0
66,BIHAR,SITAMARHI,0,0,58237,70229,70229,4806,65423,30030,45,0,0,0,0,0,0,0,0
67,BIHAR,SIWAN,0,0,50466,94248,94248,5959,88288,50153,56,0,0,0,0,0,0,0,0
68,BIHAR,SUPAUL,0,0,72518,92202,92202,6509,85692,30260,35,0,0,0,0,0,0,0,0
69,BIHAR,VAISHALI,0,0,54516,76885,76885,6951,69933,43557,62,0,0,0,0,0,0,0,0
70,BIHAR,WEST CHAMPARAN,0,0,115122,171719,171719,10723,160996,36297,22,0,0,0,0,0,0,0,0
71,CHHATTISGARH,BALOD,0,0,17178,34834,34834,2713,32120,20809,64,0,0,0,0,0,0,0,0
