S.No,STATE,DISTRICT,Rainfall(mm),Total Geographical Area (ha),Rainfall Recharge,Ground Water Recharge (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham)),Total Ground Water Availability in Unconfined Aquifier (ham)-Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)-Saline,Total Ground Water Availability in Unconfined Aquifier (ham)- Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)- Saline,Total Ground Water Availability in the area (ham)-Fresh,Total Ground Water Availability in the area (ham)-Saline
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,3015,344146,16376,16388,16388,1638,14750,335,2,269,14397,0,0,14750,0,14750,0
2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2805,194166,35011,35012,35012,3501,31511,88,0,93,31105,56008,0,87205,313,87205,313
3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,3015,247183,10777,10789,10789,1078,9710,333,3,331,9355,1045,0,10755,0,10755,0
4,ANDHRA PRADESH,Alluri Sitharama Raju,1310,1225342,46524,51002,51002,2550,48452,2177,4,1810,46338,0,0,48452,0,48452,0
5,ANDHRA PRADESH,Anakapalli,1170,429136,37557,75907,75907,3795,72111,19631,27,5954,51894,1212836,0,1284933,14,1284933,14
6,ANDHRA PRADESH,Ananthapuramu,515,1044311,42384,115287,115287,5764,109522,41583,37,6986,67963,0,0,109522,0,109522,0
7,ANDHRA PRADESH,Annamayya,745,795139,47864,91906,91906,4595,87310,44809,51,4331,41403,0,0,87310,0,87310,0
8,ANDHRA PRADESH,Bapatla,917,382885,35134,88281,88281,4414,83866,13863,21,3024,48560,694989,231950,757216,253590,757216,253590
9,ANDHRA PRADESH,Chittoor,905,687117,60482,94435,94435,4722,89713,50684,56,5909,39055,3015969,0,3105682,0,3105682,0
10,ANDHRA PRADESH,East Godavari,1076,257634,26658,102928,102928,5146,97781,29485,30,2109,69651,0,0,97781,0,97781,0
11,ANDHRA PRADESH,Eluru,998,669816,64909,181329,181329,9066,172262,47203,30,5046,106771,4655910,257135,4809938,275369,4809938,275369
