S.No,STATE,DISTRICT,Rainfall(mm),Total Geographical Area (ha),Rainfall Recharge,Ground Water Recharge (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham)),Total Ground Water Availability in Unconfined Aquifier (ham)-Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)-Saline,Total Ground Water Availability in Unconfined Aquifier (ham)- Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)- Saline,Total Ground Water Availability in the area (ham)-Fresh,Total Ground Water Availability in the area (ham)-Saline
31,ARUNACHAL PRADESH,WEST KAMENG,2521,742200,2740,2801,2801,280,2521,12,0,12,2508,0,0,2521,0,2521,0
32,ARUNACHAL PRADESH,WEST SIANG,2912,832500,5362,5362,5362,536,4825,23,0,23,4801,0,0,4825,0,4825,0
33,BIHAR,ARARIA,1632,278937,74062,83573,83573,7652,75921,19864,26,6094,55387,0,0,75921,0,75921,0
34,BIHAR,ARWAL,1075,63683,15463,20645,20645,1938,18706,8107,43,1676,10414,0,0,18706,0,18706,0
35,BIHAR,AURANGABAD,974,330284,68853,85085,85085,8280,76805,27608,35,5832,48556,0,0,76805,0,76805,0
36,BIHAR,BANKA,1054,301954,43057,51013,51013,5101,45912,17000,37,3979,28474,0,0,45912,0,45912,0
37,BIHAR,BEGUSARAI,1090,189131,46979,55739,55739,5573,50165,28733,57,6958,20668,0,0,50165,0,50165,0
38,BIHAR,BHAGALPUR,1208,260255,69965,76711,76711,7241,69469,19911,28,5437,48961,0,0,69469,0,69469,0
39,BIHAR,BHOJPUR,1051,227530,54878,76793,76793,7679,69114,43443,62,5835,25030,0,0,69114,0,69114,0
40,BIHAR,BUXAR,1051,171006,41245,55098,55098,5509,49588,27873,56,3617,21318,0,0,49588,0,49588,0
41,BIHAR,DARBHANGA,1123,250429,61654,71995,71995,6975,65019,30817,47,9103,33203,0,0,65019,0,65019,0
42,BIHAR,EAST CHAMPARAN,1472,395887,111562,140882,140882,12016,128865,55358,42,11421,72252,0,0,128865,0,128865,0
43,BIHAR,GAYA,1003,498586,92804,118803,118803,11880,106922,69384,64,10130,38409,0,0,106922,0,106922,0
44,BIHAR,GOPALGANJ,1135,201913,48296,64395,64395,5284,59110,33159,56,5588,25337,0,0,59110,0,59110,0
45,BIHAR,JAMUI,1107,309826,38555,43615,43615,4361,39254,12780,32,3969,26038,0,0,39254,0,39254,0
46,BIHAR,JEHANABAD,1075,93257,22985,31896,31896,3189,28707,26277,91,2701,2514,0,0,28707,0,28707,0
47,BIHAR,KAIMUR,1126,336206,67242,82365,82365,8236,74129,29059,39,3401,44696,0,0,74129,0,74129,0
48,BIHAR,KATIHAR,1632,300991,101540,124907,124907,12490,112416,64900,57,7002,46746,0,0,112416,0,112416,0
49,BIHAR,KHAGARIA,1632,148572,50201,58760,58760,5067,53693,26988,50,3563,26314,0,0,53693,0,53693,0
50,BIHAR,KISHANGANJ,2090,191143,65708,71393,71393,6550,64843,19171,29,3894,45244,0,0,64843,0,64843,0
51,BIHAR,LAKHISARAI,1147,122774,24572,29029,29029,2902,26126,12774,48,2349,13094,0,0,26126,0,26126,0
52,BIHAR,MADHEPURA,1632,178840,48101,66456,66456,5584,60872,42988,70,4216,17421,0,0,60872,0,60872,0
53,BIHAR,MADHUBANI,1293,348645,84101,101942,101942,8263,93678,45809,48,9309,46847,0,0,93678,0,93678,0
54,BIHAR,MUNGER,1147,139550,28423,33137,33137,3313,29824,13316,44,4118,16055,0,0,29824,0,29824,0
55,BIHAR,MUZAFFARPUR,1154,304277,80067,109093,109093,10909,98183,63993,65,11123,34957,0,0,98183,0,98183,0
56,BIHAR,NALANDA,1075,234996,52348,71382,71382,6437,64945,45597,70,7341,18667,0,0,64945,0,64945,0
57,BIHAR,NAWADA,1041,248657,45006,61890,61890,6006,55884,31520,56,4038,23920,0,0,55884,0,55884,0
58,BIHAR,PATNA,1075,320084,78007,98971,98971,9554,89417,55329,61,12992,32661,0,0,89417,0,89417,0
59,BIHAR,PURNEA,1598,320239,84962,104215,104215,7999,96216,57355,59,6498,38147,0,0,96216,0,96216,0
60,BIHAR,ROHTAS,949,383926,77715,88354,88354,8835,79519,27673,34,7383,51034,0,0,79519,0,79519,0
61,BIHAR,SAHARSA,1693,166128,46913,60725,60725,4466,56259,25961,46,4284,29827,0,0,56259,0,56259,0
62,BIHAR,SAMASTIPUR,1293,261287,75651,93322,93322,8911,84411,54575,64,8271,28928,0,0,84411,0,84411,0
63,BIHAR,SARAN,1135,262957,68358,91464,91464,9034,82430,50204,60,8146,31331,0,0,82430,0,82430,0
64,BIHAR,SHEIKHPURA,1008,68809,14330,18214,18214,1821,16392,8753,53,1653,7457,0,0,16392,0,16392,0
65,BIHAR,SHEOHAR,1293,44299,13031,16107,16107,1610,14496,8174,56,1378,6170,0,0,14496,0,14496,0
66,BIHAR,SITAMARHI,1293,218520,54765,64131,64131,5542,58588,31850,54,7362,25929,0,0,58588,0,58588,0
67,BIHAR,SIWAN,1135,222307,54385,88217,88217,6556,81660,50370,61,6508,30575,0,0,81660,0,81660,0
68,BIHAR,SUPAUL,1632,241026,61828,82420,82420,8242,74178,30664,41,4722,42996,0,0,74178,0,74178,0
69,BIHAR,VAISHALI,1176,199518,53729,75093,75093,7509,67584,42140,62,7665,24601,0,0,67584,0,67584,0
70,BIHAR,WEST CHAMPARAN,1472,434438,110074,137573,137573,11298,126274,42375,33,9136,82895,0,0,126274,0,126274,0
71,CHHATTISGARH,BALOD,1122,280874,17903,36364,36364,3229,33134,22745,68,2356,10654,48720,0,81854,0,81854,0
72,CHHATTISGARH,BALODA BAZAR,1385,499440,38369,60529,60529,5941,54588,22626,41,6482,30095,93822,0,148410,0,148410,0
73,CHHATTISGARH,BALRAMPUR,1317,713920,49025,53086,53086,5308,47777,13610,28,2200,33899,103902,0,151680,0,151680,0
74,CHHATTISGARH,BASTAR,1362,612998,28504,31812,31812,2673,29138,11313,38,2400,17592,72293,0,101432,0,101432,0
75,CHHATTISGARH,BEMETARA,1122,285481,18404,49215,49215,4660,44554,38833,87,2889,8115,52462,0,97017,0,97017,0
76,CHHATTISGARH,BIJAPUR,1528,661248,61559,62303,62303,6230,56073,2582,4,711,53424,87545,0,143618,0,143618,0
77,CHHATTISGARH,BILASPUR,1229,581587,39913,53808,53808,4071,49736,23636,47,7853,24379,88844,0,138581,0,138581,0
78,CHHATTISGARH,DANTEWADA,1327,341050,29584,30965,30965,2111,28854,3729,12,820,25042,58514,0,87368,0,87368,0
79,CHHATTISGARH,DHAMTARI,1385,408193,21710,47676,47676,4767,42908,36768,85,2180,8330,46601,0,89510,0,89510,0
80,CHHATTISGARH,DURG,1122,231999,15561,34124,34124,2932,31192,25658,82,5135,6525,43390,0,74583,0,74583,0
81,CHHATTISGARH,GARIABAND,1385,582266,25547,36863,36863,3250,33612,20207,60,1877,13187,48752,0,82365,0,82365,0
82,CHHATTISGARH,JANJGIR-CHAMPA,1386,422946,25295,47784,47784,4303,43480,23867,54,5146,18907,68896,0,112376,0,112376,0
83,CHHATTISGARH,JASHPUR,1476,645741,31952,36942,36942,3694,33248,12593,37,2320,20472,83596,0,116845,0,116845,0
84,CHHATTISGARH,KABIRDHAM,1117,444705,38756,53093,53093,4148,48945,35720,72,2837,18491,77793,0,126739,0,126739,0
85,CHHATTISGARH,KANKER,1397,643448,71205,81558,81558,7534,74024,22112,29,2150,52023,116784,0,190809,0,190809,0
86,CHHATTISGARH,KONDAGAON,1362,386027,33348,36110,36110,2732,33378,12275,36,1658,21687,69069,0,102448,0,102448,0
87,CHHATTISGARH,KORBA,1392,714544,39831,42838,42838,3963,38874,14441,37,3879,24619,79197,0,118072,0,118072,0
88,CHHATTISGARH,KOREA,1317,597770,42734,49399,49399,3156,46243,10330,22,1819,35781,74359,0,120602,0,120602,0
89,CHHATTISGARH,MAHASAMUND,1406,496300,45666,64594,64594,5275,59318,38989,65,3077,19980,85132,0,144450,0,144450,0
90,CHHATTISGARH,MUNGELI,1351,275036,9978,15845,15845,1584,14260,8288,58,2236,5448,25988,0,40249,0,40249,0
91,CHHATTISGARH,NARAYANPUR,1404,691316,27049,27756,27756,1778,25977,1008,3,412,24925,64743,0,90721,0,90721,0
92,CHHATTISGARH,RAIGARH,1468,683635,40646,49186,49186,3897,45289,21726,47,4491,23553,96266,0,141556,0,141556,0
93,CHHATTISGARH,RAIPUR,1376,289198,23071,46608,46608,4108,42499,28840,67,8179,13585,54253,0,96753,0,96753,0
94,CHHATTISGARH,RAJNANDGAON,1208,668017,50065,81755,81755,6736,75019,47611,63,6010,27294,104580,0,179599,0,179599,0
95,CHHATTISGARH,SUKMA,1403,563579,50984,51766,51766,5176,46589,1551,3,636,45003,103144,0,149734,0,149734,0
96,CHHATTISGARH,SURAJPUR,1317,278720,26488,37135,37135,2813,34321,20516,59,2298,13639,48441,0,82762,0,82762,0
97,CHHATTISGARH,SURGUJA,1317,519115,41164,46356,46356,4635,41720,13510,32,2436,27969,78054,0,119775,0,119775,0
98,DADRA AND NAGAR HAVELI,DADRA NAGAR HAVELI,2265,49100,4636,7246,7246,494,6752,3105,45,1798,3416,0,0,6752,0,6752,0
99,DAMAN AND DIU,DAMAN,1904,7200,2551,2655,2655,132,2522,3082,122,1412,0,0,0,2522,0,2522,0
100,DAMAN AND DIU,DIU,762,4000,208,245,245,12,233,42,18,175,15,0,0,233,0,233,0
101,DELHI,CENTRAL,793,7930,208,2006,2006,200,1805,1651,91,1534,250,37337,0,39143,0,39143,0
102,DELHI,EAST,793,3159,132,1557,1557,155,1402,1251,89,1151,177,18728,0,20130,0,20130,0
103,DELHI,NAZUL LAND,793,2579,122,519,519,51,467,293,62,44,173,33049,0,33516,0,33516,0
104,DELHI,NEW DELHI,793,15809,442,2305,2305,230,2075,2679,129,2295,0,41743,0,43819,0,43819,0
105,DELHI,NORTH,793,29114,1183,5148,5148,514,4633,4976,107,1241,45,335032,0,339665,0,339665,0
106,DELHI,NORTH EAST,793,3567,140,1194,1194,119,1075,1110,103,1024,6,26535,0,27610,0,27610,0
107,DELHI,NORTH WEST,793,15436,734,3693,3693,369,3323,2328,70,1878,947,151498,0,154822,0,154822,0
108,DELHI,SHAHDARA,793,3458,162,1489,1489,148,1340,1452,108,1249,6,24899,0,26239,0,26239,0
109,DELHI,SOUTH,793,15785,251,2713,2713,271,2441,2920,119,2731,0,10258,0,12700,0,12700,0
110,DELHI,SOUTH EAST,793,10352,442,1731,1731,173,1558,1642,105,1290,36,57441,0,58999,0,58999,0
111,DELHI,SOUTH WEST,793,30516,1515,6097,6097,609,5487,5987,109,2166,139,343215,0,348703,0,348703,0
112,DELHI,WEST,793,11054,520,3354,3354,335,3018,2739,90,2099,381,85741,0,88760,0,88760,0
113,GOA,GOA NORTH,3354,146310,14735,18661,18661,3732,14929,3550,23,2264,11193,0,0,14929,0,14929,0
114,GOA,SOUTH GOA,3388,223888,19747,21550,21550,4310,17240,4004,23,2904,12997,0,0,17240,0,17240,0
115,GUJARAT,AHMEDABAD,712,701865,129654,155550,155550,10510,145039,58804,64,2668,21359,0,0,60608,84431,60608,84431
116,GUJARAT,AMRELI,667,737545,139675,157812,157812,7890,149922,75060,50,213,73344,0,0,148203,1718,148203,1718
117,GUJARAT,ANAND,1542,282648,42724,118556,118556,7867,110689,28063,27,4688,70417,0,0,97060,13628,97060,13628
118,GUJARAT,ARVALLI,1754,321967,70906,80441,80441,7690,72750,34031,46,2013,38535,0,0,72750,0,72750,0
119,GUJARAT,BANASKANTHA,613,1040532,133351,174159,174159,16036,158123,161722,124,5092,19192,0,0,106926,51196,106926,51196
120,GUJARAT,BHARUCH,1416,524059,109483,133223,133223,13322,119901,18603,21,2032,61181,0,0,77766,42134,77766,42134
121,GUJARAT,BHAVNAGAR,614,669390,94756,113026,113026,5651,107375,44131,43,71,55108,0,0,97377,9997,97377,9997
122,GUJARAT,BOTAD,591,256112,47134,53674,53674,2685,50988,23969,48,0,24001,0,0,47051,3937,47051,3937
123,GUJARAT,CHHOTA UDEPUR,1053,346030,39945,54191,54191,4894,49296,20362,41,1874,28787,0,0,49296,0,49296,0
124,GUJARAT,DAHOD,1505,364980,34200,51718,51718,4484,47233,12843,27,5471,33494,0,0,47233,0,47233,0
125,GUJARAT,DANG,2382,170825,30173,31946,31946,3194,28752,2229,7,512,26462,0,0,28752,0,28752,0
126,GUJARAT,DEVBHUMI DWARKA,666,407527,42363,50547,50547,2527,48020,28957,60,1548,16572,0,0,42520,5499,42520,5499
127,GUJARAT,GANDHINAGAR,778,216584,40044,52879,52879,5287,47591,58737,123,1482,5393,0,0,47591,0,47591,0
128,GUJARAT,GIR SOMNATH,940,376295,72264,81399,81399,4069,77329,32191,49,2767,29134,0,0,57787,19541,57787,19541
129,GUJARAT,JAMNAGAR,1293,601951,164094,182294,182294,9114,173179,54210,33,2444,108379,0,0,162168,11011,162168,11011
130,GUJARAT,JUNAGADH,1811,502760,83116,97684,97684,8807,88877,67501,76,2123,21912,0,0,81114,7763,81114,7763
131,GUJARAT,KACHCHH,403,1950650,135447,179263,179263,13697,165566,101115,73,1554,31816,0,0,78772,86793,78772,86793
132,GUJARAT,KHEDA,837,336626,80001,156899,156899,7844,149054,56592,38,3359,90015,0,0,145966,3088,145966,3088
133,GUJARAT,MAHESANA,742,440657,84794,119985,119985,11702,108283,105229,103,3240,7824,0,0,100990,7292,100990,7292
134,GUJARAT,MAHISAGAR,743,249446,17449,31445,31445,3144,28300,10808,38,743,17421,0,0,28300,0,28300,0
135,GUJARAT,MORBI,516,480371,74480,89336,89336,4469,84866,36676,47,1830,30086,0,0,57889,26977,57889,26977
136,GUJARAT,NARMADA,1054,276068,26666,39578,39578,3008,36570,18502,50,504,18026,0,0,36570,0,36570,0
137,GUJARAT,NAVSARI,1811,219952,60313,79655,79655,6676,72978,22825,34,2504,40772,0,0,62401,10577,62401,10577
138,GUJARAT,PANCHMAHAL,880,322570,22217,47556,47556,4201,43355,11207,25,1969,31954,0,0,43355,0,43355,0
139,GUJARAT,PATAN,565,573104,21729,48146,48146,3440,44706,59563,117,1359,2716,0,0,34172,10534,34172,10534
140,GUJARAT,PORBANDAR,687,226195,32381,37880,37880,1894,35986,17712,57,397,10624,0,0,25123,10863,25123,10863
141,GUJARAT,RAJKOT,665,747383,152287,190642,190642,9532,181110,106241,58,7163,74086,0,0,181110,0,181110,0
142,GUJARAT,SABARKANTHA,866,395339,50308,74769,74769,7476,67292,50912,75,2007,17512,0,0,67292,0,67292,0
143,GUJARAT,SURAT,1365,411114,88034,130334,130334,10278,120056,34567,29,6773,77637,0,0,111037,9019,111037,9019
144,GUJARAT,SURENDRANAGAR,578,921812,123013,137737,137737,6886,130850,47523,38,1150,46881,0,0,76473,54377,76473,54377
145,GUJARAT,TAPI,1438,313055,49529,63341,63341,5127,58213,18638,32,536,39538,0,0,58213,0,58213,0
146,GUJARAT,VADODARA,896,409610,64018,105687,105687,7843,97843,57489,58,2365,40314,0,0,97843,0,97843,0
147,GUJARAT,VALSAD,2288,325687,57771,68509,68509,6129,62380,18915,30,5914,41513,0,0,60801,1578,60801,1578
148,HARYANA,AMBALA,1148,151204,31459,48026,48026,4802,43223,53652,124,6649,1255,3022070,0,3065294,0,3065294,0
149,HARYANA,BHIWANI,287,329727,17127,41806,41806,3669,38137,52953,109,2612,5257,200259,135439,238396,135439,238396,135439
150,HARYANA,CHARKHI DADRI,460,137349,9888,19351,19351,1935,17416,26471,139,832,3980,99471,6780,116887,6780,116887,6780
151,HARYANA,FARIDABAD,750,74284,7948,16273,16273,1426,14846,19597,126,751,0,372096,67941,386942,67941,386942,67941
152,HARYANA,FATEHABAD,289,252512,13207,59475,59475,5947,53527,92180,169,1415,199,170671,2383,224199,2383,224199,2383
153,HARYANA,GURGAON,554,126034,12729,22691,22691,2269,20422,41423,202,2232,0,297972,6798,318394,6798,318394,6798
154,HARYANA,HISAR,334,407527,23263,58878,58878,5289,53589,49785,90,323,9744,1143623,3307,1197212,3307,1197212,3307
155,HARYANA,JHAJJAR,369,193464,13600,36956,36956,2914,34041,22289,46,262,18303,846860,245590,880901,245590,880901,245590
156,HARYANA,JIND,495,275091,23644,85663,85663,8566,77097,94944,112,3106,6217,1227943,39406,1305040,39406,1305040,39406
157,HARYANA,KAITHAL,483,227414,19914,60214,60214,5459,54755,113829,207,4169,0,1938772,45158,1993527,45158,1993527,45158
158,HARYANA,KARNAL,634,247051,31482,80694,80694,7604,73089,122786,167,5029,3342,4336659,3878,4409749,3878,4409749,3878
159,HARYANA,KURUKSHETRA,624,168420,16198,38918,38918,3677,35241,86679,245,6322,0,2126680,0,2161921,0,2161921,0
160,HARYANA,MAHENDRAGARH,493,194082,16701,28468,28468,2846,25621,27838,106,2477,4109,144709,17301,170330,17301,170330,17301
161,HARYANA,MEWAT,473,150232,10287,19582,19582,1958,17623,17846,80,1466,5012,522359,150377,539983,150377,539983,150377
162,HARYANA,PALWAL,455,135955,10383,38736,38736,3873,34862,38005,98,2557,5582,642761,145367,677623,145367,677623,145367
163,HARYANA,PANCHKULA,1226,88286,12838,15252,15252,1249,14003,8710,62,1257,5292,160800,0,174803,0,174803,0
164,HARYANA,PANIPAT,570,130273,13655,35600,35600,3560,32040,56483,176,2204,0,1251557,10684,1283598,10684,1283598,10684
165,HARYANA,REWARI,513,150887,15468,30921,30921,3092,27829,35431,126,1388,702,611593,6613,639422,6613,639422,6613
166,HARYANA,ROHTAK,435,166907,14295,32434,32434,2687,29746,19579,49,446,14967,1147561,146967,1177308,146967,1177308,146967
167,HARYANA,SIRSA,283,426992,20457,60564,60564,5818,54746,131907,149,1863,2685,1334209,429064,1388955,429064,1388955,429064
168,HARYANA,SONIPAT,509,215722,20865,64679,64679,5324,59355,69128,110,1883,10235,1673452,151754,1732807,151754,1732807,151754
169,HARYANA,YAMUNA NAGAR,913,171777,26607,57510,57510,5751,51759,77250,149,7801,159,3293067,0,3344826,0,3344826,0
170,HIMACHAL PRADESH,BALH VALLEY,1430,39500,2321,2404,2404,240,2163,895,41,632,1268,0,0,2163,0,2163,0
171,HIMACHAL PRADESH,BILASPUR,0,215690,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
172,HIMACHAL PRADESH,CHAMBA,0,516544,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
173,HIMACHAL PRADESH,CHAUNTRA VALLEY,1540,5200,1409,1409,1409,140,1268,217,17,217,1051,0,0,1268,0,1268,0
174,HIMACHAL PRADESH,DHARAMSHALA PALAMPUR VALLEY,1968,45200,18364,18364,18364,1836,16527,2273,13,2272,14254,0,0,16527,0,16527,0
175,HIMACHAL PRADESH,HAMIRPUR,0,172992,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
176,HIMACHAL PRADESH,HUM VALLEY,999,6578,593,767,767,76,690,401,58,103,289,0,0,690,0,690,0
177,HIMACHAL PRADESH,KALA AMB VALLEY,1426,8200,1521,1547,1547,154,1392,423,30,202,969,0,0,1392,0,1392,0
178,HIMACHAL PRADESH,KANGRA,0,635213,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
179,HIMACHAL PRADESH,KINNAUR,0,472527,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
180,HIMACHAL PRADESH,KULLU,0,385834,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
181,HIMACHAL PRADESH,LAHUL & SPITI,0,1277461,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
182,HIMACHAL PRADESH,MANDI,0,344705,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
183,HIMACHAL PRADESH,NALAGARH VALLEY,1266,33600,7977,16255,16255,1625,14629,8548,58,1197,6757,0,0,14629,0,14629,0
184,HIMACHAL PRADESH,NURPUR & INDAURA vALLEY,1968,102400,23544,38331,38331,3833,34498,10133,29,2314,24365,0,0,34498,0,34498,0
185,HIMACHAL PRADESH,POANTA VALLEY,1426,27600,7346,7708,7708,770,6937,1556,22,759,5381,0,0,6937,0,6937,0
186,HIMACHAL PRADESH,SHIMLA,0,512174,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
187,HIMACHAL PRADESH,SIRMAUR,0,354182,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
188,HIMACHAL PRADESH,SOLAN,0,254883,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
189,HIMACHAL PRADESH,UNA,0,348058,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
190,HIMACHAL PRADESH,UNA VALLEY BEAS CATCHMENT,999,6500,911,911,911,91,820,257,31,125,563,0,0,820,0,820,0
191,HIMACHAL PRADESH,UNA VALLEY SUTLEJ CATCHMENT,999,104500,15290,19032,19032,994,18037,11001,60,2637,7035,0,0,18037,0,18037,0
192,JAMMU AND KASHMIR,Bandipora,686,34500,619,641,641,64,576,396,68,404,137,20512,0,21088,0,21088,0
193,JAMMU AND KASHMIR,Doda,1406,873645,252,1074,1074,107,967,431,44,344,499,3232,0,4200,0,4200,0
194,JAMMU AND KASHMIR,Jammu,1330,234200,42053,88812,88812,8881,79931,23364,29,10852,56566,2956779,0,3036710,0,3036710,0
195,JAMMU AND KASHMIR,Kishtwar,1406,164400,494,1629,1629,162,1466,178,12,147,1288,1440,0,2906,0,2906,0
196,JAMMU AND KASHMIR,Poonch,1458,167400,6226,22602,22602,2260,20342,2074,10,1495,18111,19410,0,39752,0,39752,0
197,JAMMU AND KASHMIR,Pulwama,506,108600,6182,23847,23847,2384,21462,8158,38,3195,13304,84076,0,105539,0,105539,0
198,JAMMU AND KASHMIR,Rajouri,957,263000,5895,29110,29110,2911,26199,1801,6,1528,24348,36512,0,62711,0,62711,0
199,JAMMU AND KASHMIR,Samba,1601,90400,12626,35392,35392,3539,31853,3163,9,1798,28653,317207,0,349060,0,349060,0
200,JAMMU AND KASHMIR,Shopian,818,31200,3372,15000,15000,1500,13500,1463,10,1336,12036,37440,0,50940,0,50940,0
201,JAMMU AND KASHMIR,Srinagar,698,197900,6142,14315,14315,1431,12884,7538,58,7801,4695,0,0,12884,0,12884,0
202,JHARKHAND,BOKARO,1256,285938,21931,24553,24553,2214,22338,9800,43,3883,13416,117909,0,140248,0,140248,0
203,JHARKHAND,CHATRA,1203,393189,21579,25632,25632,2028,23603,8270,35,1458,15323,139871,0,163475,0,163475,0
204,JHARKHAND,DEOGHAR,1220,255105,12580,15376,15376,1107,14268,7438,52,2282,6814,84470,0,98739,0,98739,0
205,JHARKHAND,DHANBAD,1290,225247,19006,25971,25971,2394,23576,15824,67,5381,7983,79315,0,102892,0,102892,0
206,JHARKHAND,DUMKA,1371,371643,22988,27460,27460,2093,25366,5616,22,1860,19737,129556,0,154922,0,154922,0
