S.No,STATE,DISTRICT,Rainfall(mm),Total Geographical Area (ha),Rainfall Recharge,Ground Water Recharge (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham)),Total Ground Water Availability in Unconfined Aquifier (ham)-Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)-Saline,Total Ground Water Availability in Unconfined Aquifier (ham)- Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)- Saline,Total Ground Water Availability in the area (ham)-Fresh,Total Ground Water Availability in the area (ham)-Saline
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,2954,344146,9770,9783,9783,978,8805,327,3,269,8452,0,0,8805,0,8805,0
2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2954,194166,15483,15484,15484,1548,13936,86,0,93,13574,0,0,13666,269,13666,269
3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,2954,247183,6570,6582,6582,562,6020,327,5,331,5661,0,0,6020,0,6020,0
4,ANDHRA PRADESH,Ananthapuramu,550,1913000,85860,185489,185489,9274,176214,130282,73,23268,78547,4177944,0,4354159,0,4354159,0
5,ANDHRA PRADESH,Chittoor,861,1150395,93556,137954,137954,6898,131056,78732,60,10061,53480,4651035,0,4782091,0,4782091,0
6,ANDHRA PRADESH,East Godavari,1186,1280517,88920,320827,320827,16041,304785,54137,19,4780,203246,0,0,249307,55478,249307,55478
7,ANDHRA PRADESH,Guntur,835,1139106,63440,199285,199285,9964,189321,54023,31,15899,119482,2040741,672176,2209794,692444,2209794,692444
8,ANDHRA PRADESH,Krishna,1032,872700,82965,355250,355250,17762,337487,72684,28,7912,186400,0,0,257024,80462,257024,80462
9,ANDHRA PRADESH,Kurnool,654,1765800,66187,182984,182984,9149,173834,35203,20,933,141044,0,0,173834,0,173834,0
10,ANDHRA PRADESH,Prakasam,850,1762537,92639,140305,140305,7015,133289,41302,32,10307,85908,5802613,33739,5929201,40441,5929201,40441
11,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,1071,1307605,120817,324908,324908,16245,308663,99345,33,8782,202391,0,0,299846,8816,299846,8816
12,ANDHRA PRADESH,Srikakulam,1138,583939,53631,129346,129346,6467,122878,28760,23,16816,92526,0,0,121786,1092,121786,1092
13,ANDHRA PRADESH,Visakhapatnam,1209,1105062,73794,98922,98922,4946,93975,25580,27,16655,69745,2351207,0,2445168,14,2445168,14
14,ANDHRA PRADESH,Vizianagaram,1131,651545,60300,225635,225635,11282,214353,42721,19,5440,170335,0,0,214353,0,214353,0
15,ANDHRA PRADESH,West Godavari,899,850668,84122,274347,274347,13713,260633,50015,28,6494,123262,0,0,171402,89230,171402,89230
16,ANDHRA PRADESH,Y.S.R Kadapa,699,1535000,83867,115711,115711,5785,109925,58826,53,4305,64789,8939599,0,9049525,0,9049525,0
17,ARUNACHAL PRADESH,ANJAW,0,619000,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
18,ARUNACHAL PRADESH,CHANGLANG,2599,466200,24248,25341,23923,2534,21389,185,0,205,21183,1891160,0,1912550,0,1912550,0
19,ARUNACHAL PRADESH,DIBANG VALLEY,0,912900,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
20,ARUNACHAL PRADESH,EAST KAMENG,2136,413400,11748,12228,12228,1222,11005,28,0,35,10970,0,0,11005,0,11005,0
21,ARUNACHAL PRADESH,EAST SIANG,4418,360300,76592,78506,77916,3925,73991,322,0,73,73663,3867671,0,3941662,0,3941662,0
22,ARUNACHAL PRADESH,KURUNG KUMEY,0,604000,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
23,ARUNACHAL PRADESH,LOHIT,3003,521200,93665,94333,92040,4716,87324,231,0,254,87069,7102728,0,7190052,0,7190052,0
24,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,3507,390000,76744,77740,77740,7774,69966,32,0,34,69932,4320000,0,4389966,0,4389966,0
25,ARUNACHAL PRADESH,LOWER SUBANSIRI,2136,350800,4285,4396,4230,439,3791,20,0,28,3763,359114,0,362905,0,362905,0
26,ARUNACHAL PRADESH,PAPUM PARE,3336,346200,9076,10582,10460,1058,9402,115,1,128,9255,99214,0,108616,0,108616,0
27,ARUNACHAL PRADESH,TAWANG,0,217200,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
28,ARUNACHAL PRADESH,TIRAP,3459,236200,7214,7492,7492,374,7118,66,0,71,7046,441083,0,448201,0,448201,0
29,ARUNACHAL PRADESH,UPPER SIANG,0,659000,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
30,ARUNACHAL PRADESH,UPPER SUBANSIRI,1746,703200,215,321,321,32,289,19,6,26,263,0,0,289,0,289,0
